value_rank,domain,word,length,google_20k_rank
144,get.ai,get,3,77
145,how.ai,how,3,87
146,its.ai,its,3,95
147,top.ai,top,3,104
148,had.ai,had,3,106
149,day.ai,day,3,113
150,two.ai,two,3,116
151,buy.ai,buy,3,130
152,her.ai,her,3,138
153,add.ai,add,3,141
154,she.ai,she,3,170
155,sex.ai,sex,3,182
156,set.ai,set,3,189
157,map.ai,map,3,197
158,way.ai,way,3,203
159,off.ai,off,3,225
160,did.ai,did,3,232
161,car.ai,car,3,244
162,own.ai,own,3,294
163,end.ai,end,3,317
164,him.ai,him,3,321
165,per.ai,per,3,323
166,big.ai,big,3,330
167,law.ai,law,3,332
168,art.ai,art,3,338
169,old.ai,old,3,371
170,non.ai,non,3,380
171,why.ai,why,3,385
172,low.ai,low,3,402
173,man.ai,man,3,413
174,job.ai,job,3,429
175,too.ai,too,3,436
176,men.ai,men,3,441
177,gay.ai,gay,3,456
178,air.ai,air,3,478
179,yes.ai,yes,3,484
180,hot.ai,hot,3,487
181,say.ai,say,3,496
182,san.ai,san,3,513
183,tax.ai,tax,3,531
184,got.ai,got,3,536
185,let.ai,let,3,543
186,act.ai,act,3,552
187,red.ai,red,3,554
188,key.ai,key,3,569
189,few.ai,few,3,575
190,age.ai,age,3,580
191,pay.ai,pay,3,599
192,war.ai,war,3,615
193,yet.ai,yet,3,636
194,sun.ai,sun,3,645
195,run.ai,run,3,672
196,net.ai,net,3,674
197,put.ai,put,3,679
198,try.ai,try,3,684
199,god.ai,god,3,690
200,log.ai,log,3,713
201,fun.ai,fun,3,731
202,lot.ai,lot,3,748
203,ask.ai,ask,3,749
204,due.ai,due,3,761
205,mar.ai,mar,3,772
206,pro.ai,pro,3,779
207,ago.ai,ago,3,808
208,via.ai,via,3,826
209,bad.ai,bad,3,841
210,far.ai,far,3,860
211,oil.ai,oil,3,981
212,bit.ai,bit,3,982
213,bay.ai,bay,3,1026
214,bar.ai,bar,3,1042
215,dog.ai,dog,3,1047
216,mon.ai,mon,3,1111
217,gas.ai,gas,3,1119
218,six.ai,six,3,1121
219,sat.ai,sat,3,1134
220,zip.ai,zip,3,1137
221,bid.ai,bid,3,1138
222,wed.ai,wed,3,1207
223,inn.ai,inn,3,1221
224,win.ai,win,3,1240
225,bed.ai,bed,3,1260
226,tue.ai,tue,3,1281
227,ass.ai,ass,3,1304
228,sea.ai,sea,3,1320
229,cut.ai,cut,3,1324
230,kit.ai,kit,3,1359
231,boy.ai,boy,3,1393
232,son.ai,son,3,1417
233,mac.ai,mac,3,1420
234,bin.ai,bin,3,1443
235,van.ai,van,3,1496
236,pop.ai,pop,3,1523
237,hit.ai,hit,3,1551
238,eye.ai,eye,3,1566
239,fee.ai,fee,3,1630
240,las.ai,las,3,1638
241,min.ai,min,3,1647
242,aid.ai,aid,3,1652
243,fat.ai,fat,3,1690
244,saw.ai,saw,3,1694
245,pst.ai,pst,3,1707
246,tom.ai,tom,3,1723
247,sub.ai,sub,3,1733
248,led.ai,led,3,1743
249,fan.ai,fan,3,1746
250,ten.ai,ten,3,1755
251,cat.ai,cat,3,1760
252,die.ai,die,3,1763
253,pet.ai,pet,3,1803
254,guy.ai,guy,3,1814
255,dev.ai,dev,3,1821
256,cup.ai,cup,3,1822
257,vol.ai,vol,3,1826
258,lee.ai,lee,3,1843
259,bob.ai,bob,3,1923
260,fit.ai,fit,3,1931
261,met.ai,met,3,1937
262,cum.ai,cum,3,1945
263,ice.ai,ice,3,1960
264,sec.ai,sec,3,1975
265,bus.ai,bus,3,1982
266,bag.ai,bag,3,1995
267,nor.ai,nor,3,2039
268,bug.ai,bug,3,2043
269,mid.ai,mid,3,2045
270,joe.ai,joe,3,2148
271,lab.ai,lab,3,2267
272,ave.ai,ave,3,2320
273,pic.ai,pic,3,2402
274,tag.ai,tag,3,2454
275,mix.ai,mix,3,2456
276,fix.ai,fix,3,2464
277,ray.ai,ray,3,2480
278,dry.ai,dry,3,2507
279,spa.ai,spa,3,2510
280,con.ai,con,3,2529
281,won.ai,won,3,2642
282,doc.ai,doc,3,2660
283,row.ai,row,3,2691
284,eat.ai,eat,3,2728
285,aim.ai,aim,3,2751
286,ann.ai,ann,3,2762
287,tip.ai,tip,3,2765
288,ski.ai,ski,3,2777
289,dan.ai,dan,3,2794
290,fly.ai,fly,3,2806
291,hey.ai,hey,3,2847
292,tea.ai,tea,3,2862
293,sky.ai,sky,3,2872
294,toy.ai,toy,3,2897
295,hip.ai,hip,3,2907
296,dot.ai,dot,3,2930
297,don.ai,don,3,2982
298,cap.ai,cap,3,3032
299,ink.ai,ink,3,3033
300,pin.ai,pin,3,3071
301,raw.ai,raw,3,3079
302,gnu.ai,gnu,3,3086
303,ben.ai,ben,3,3093
304,hat.ai,hat,3,3145
305,cam.ai,cam,3,3196
306,wet.ai,wet,3,3208
307,ram.ai,ram,3,3213
308,fox.ai,fox,3,3222
309,arm.ai,arm,3,3230
310,pub.ai,pub,3,3268
311,hop.ai,hop,3,3322
312,gun.ai,gun,3,3335
313,sam.ai,sam,3,3386
314,ref.ai,ref,3,3428
315,kid.ai,kid,3,3435
316,pan.ai,pan,3,3457
317,iso.ai,iso,3,3593
318,sum.ai,sum,3,3601
319,oak.ai,oak,3,3619
320,vat.ai,vat,3,3620
321,sir.ai,sir,3,3642
322,kim.ai,kim,3,3652
323,spy.ai,spy,3,3680
324,sit.ai,sit,3,3714
325,wow.ai,wow,3,3718
326,fig.ai,fig,3,3790
327,tab.ai,tab,3,3829
328,sin.ai,sin,3,3994
329,ing.ai,ing,3,4045
330,leg.ai,leg,3,4093
331,jay.ai,jay,3,4112
332,gap.ai,gap,3,4114
333,biz.ai,biz,3,4147
334,rob.ai,rob,3,4158
335,era.ai,era,3,4173
336,asp.ai,asp,3,4194
337,jet.ai,jet,3,4216
338,par.ai,par,3,4220
339,mad.ai,mad,3,4248
340,ken.ai,ken,3,4258
341,pen.ai,pen,3,4269
342,joy.ai,joy,3,4281
343,ran.ai,ran,3,4286
344,ill.ai,ill,3,4320
345,lay.ai,lay,3,4324
346,bet.ai,bet,3,4364
347,dad.ai,dad,3,4524
348,pat.ai,pat,3,4535
349,reg.ai,reg,3,4563
350,ear.ai,ear,3,4593
351,tie.ai,tie,3,4607
352,rep.ai,rep,3,4685
353,sri.ai,sri,3,4739
354,toe.ai,toe,3,4741
355,lan.ai,lan,3,4783
356,den.ai,den,3,4905
357,lie.ai,lie,3,4929
358,amp.ai,amp,3,4959
359,eve.ai,eve,3,5008
360,pad.ai,pad,3,5030
361,rod.ai,rod,3,5043
362,sad.ai,sad,3,5071
363,cal.ai,cal,3,5080
364,pot.ai,pot,3,5100
365,pee.ai,pee,3,5138
366,egg.ai,egg,3,5154
367,lat.ai,lat,3,5164
368,sur.ai,sur,3,5198
369,rev.ai,rev,3,5218
370,jam.ai,jam,3,5259
371,rio.ai,rio,3,5291
372,arc.ai,arc,3,5327
373,ion.ai,ion,3,5387
374,tit.ai,tit,3,5393
375,fed.ai,fed,3,5408
376,ban.ai,ban,3,5429
377,odd.ai,odd,3,5451
378,amy.ai,amy,3,5492
379,cry.ai,cry,3,5529
380,zoo.ai,zoo,3,5536
381,aka.ai,aka,3,5544
382,tee.ai,tee,3,5550
383,cad.ai,cad,3,5590
384,hub.ai,hub,3,5666
385,ace.ai,ace,3,5688
386,sue.ai,sue,3,5705
387,chi.ai,chi,3,5746
388,opt.ai,opt,3,5841
389,flu.ai,flu,3,5845
390,rap.ai,rap,3,5857
391,tin.ai,tin,3,5873
392,rat.ai,rat,3,5910
393,dos.ai,dos,3,5935
394,cod.ai,cod,3,5985
395,gen.ai,gen,3,6008
396,gel.ai,gel,3,6042
397,thy.ai,thy,3,6167
398,tri.ai,tri,3,6179
399,pal.ai,pal,3,6181
400,mat.ai,mat,3,6207
401,ted.ai,ted,3,6215
402,gym.ai,gym,3,6244
403,tan.ai,tan,3,6290
404,alt.ai,alt,3,6320
405,pie.ai,pie,3,6321
406,bow.ai,bow,3,6335
407,cox.ai,cox,3,6404
408,cab.ai,cab,3,6546
409,ist.ai,ist,3,6555
410,dam.ai,dam,3,6578
411,das.ai,das,3,6584
412,tub.ai,tub,3,6701
413,ash.ai,ash,3,6727
414,mem.ai,mem,3,6822
415,tap.ai,tap,3,6828
416,bee.ai,bee,3,6885
417,pit.ai,pit,3,6977
418,mag.ai,mag,3,7009
419,ton.ai,ton,3,7047
420,gif.ai,gif,3,7058
421,bra.ai,bra,3,7106
422,phi.ai,phi,3,7127
423,cow.ai,cow,3,7132
424,div.ai,div,3,7175
425,ons.ai,ons,3,7222
426,ide.ai,ide,3,7274
427,geo.ai,geo,3,7332
428,doe.ai,doe,3,7336
429,rid.ai,rid,3,7381
430,rip.ai,rip,3,7432
431,sol.ai,sol,3,7469
432,bat.ai,bat,3,7477
433,lip.ai,lip,3,7498
434,sap.ai,sap,3,7500
435,aye.ai,aye,3,7678
436,col.ai,col,3,7706
437,dod.ai,dod,3,7764
438,neo.ai,neo,3,7768
439,dig.ai,dig,3,7788
440,nat.ai,nat,3,7795
441,rim.ai,rim,3,7906
442,dis.ai,dis,3,7911
443,kay.ai,kay,3,7923
444,ser.ai,ser,3,7930
445,nam.ai,nam,3,7986
446,pig.ai,pig,3,7993
447,lit.ai,lit,3,8015
448,foo.ai,foo,3,8070
449,sig.ai,sig,3,8091
450,duo.ai,duo,3,8093
451,fog.ai,fog,3,8103
452,yea.ai,yea,3,8157
453,fur.ai,fur,3,8165
454,tar.ai,tar,3,8169
455,soc.ai,soc,3,8174
456,rug.ai,rug,3,8211
457,ham.ai,ham,3,8250
458,sie.ai,sie,3,8291
459,bon.ai,bon,3,8335
460,mas.ai,mas,3,8348
461,kai.ai,kai,3,8353
462,dom.ai,dom,3,8358
463,jar.ai,jar,3,8393
464,cos.ai,cos,3,8432
465,pac.ai,pac,3,8436
466,wax.ai,wax,3,8474
467,nut.ai,nut,3,8494
468,bye.ai,bye,3,8526
469,ana.ai,ana,3,8533
470,mil.ai,mil,3,8582
471,lap.ai,lap,3,8608
472,sao.ai,sao,3,8632
473,ant.ai,ant,3,8737
474,apt.ai,apt,3,8742
475,gem.ai,gem,3,8764
476,psi.ai,psi,3,8802
477,gig.ai,gig,3,8858
478,ate.ai,ate,3,9000
479,fin.ai,fin,3,9020
480,mud.ai,mud,3,9024
481,ala.ai,ala,3,9088
482,dip.ai,dip,3,9094
483,dow.ai,dow,3,9139
484,yen.ai,yen,3,9150
485,lid.ai,lid,3,9163
486,til.ai,til,3,9244
487,hay.ai,hay,3,9260
488,pix.ai,pix,3,9307
489,nil.ai,nil,3,9364
490,pam.ai,pam,3,9370
491,cop.ai,cop,3,9382
492,dim.ai,dim,3,9389
493,abu.ai,abu,3,9446
494,leu.ai,leu,3,9490
495,sip.ai,sip,3,9545
496,dee.ai,dee,3,9586
497,mae.ai,mae,3,9603
498,mel.ai,mel,3,9605
499,sic.ai,sic,3,9626
500,wan.ai,wan,3,9703
501,sen.ai,sen,3,9762
502,pod.ai,pod,3,9791
503,cho.ai,cho,3,9867
504,wit.ai,wit,3,9873
505,mug.ai,mug,3,9934
506,rel.ai,rel,3,10034
507,owl.ai,owl,3,10056
508,din.ai,din,3,10086
509,vet.ai,vet,3,10096
510,che.ai,che,3,10249
511,lin.ai,lin,3,10276
512,het.ai,het,3,10311
513,gal.ai,gal,3,10410
514,tot.ai,tot,3,10447
515,elk.ai,elk,3,10490
516,rex.ai,rex,3,10519
517,soy.ai,soy,3,10525
518,bud.ai,bud,3,10541
519,dye.ai,dye,3,10684
520,dew.ai,dew,3,10744
521,gum.ai,gum,3,10768
522,fry.ai,fry,3,10808
523,roi.ai,roi,3,10822
524,deg.ai,deg,3,10873
525,bot.ai,bot,3,10874
526,lea.ai,lea,3,10875
527,wap.ai,wap,3,11001
528,lys.ai,lys,3,11062
529,huh.ai,huh,3,11088
530,shy.ai,shy,3,11163
531,ret.ai,ret,3,11186
532,hex.ai,hex,3,11232
533,err.ai,err,3,11353
534,sup.ai,sup,3,11355
535,pol.ai,pol,3,11403
536,ast.ai,ast,3,11512
537,rue.ai,rue,3,11529
538,elf.ai,elf,3,11549
539,cha.ai,cha,3,11563
540,dub.ai,dub,3,11569
541,tai.ai,tai,3,11579
542,vis.ai,vis,3,11601
543,ivy.ai,ivy,3,11720
544,ark.ai,ark,3,11744
545,cor.ai,cor,3,11795
546,goo.ai,goo,3,11796
547,cue.ai,cue,3,11931
548,han.ai,han,3,11938
549,sac.ai,sac,3,11945
550,peg.ai,peg,3,11946
551,mum.ai,mum,3,12007
552,hen.ai,hen,3,12078
553,mib.ai,mib,3,12081
554,tec.ai,tec,3,12095
555,ego.ai,ego,3,12191
556,nay.ai,nay,3,12205
557,cur.ai,cur,3,12275
558,lam.ai,lam,3,12318
559,mob.ai,mob,3,12365
560,ich.ai,ich,3,12412
561,gag.ai,gag,3,12429
562,goa.ai,goa,3,12449
563,sis.ai,sis,3,12507
564,ale.ai,ale,3,12513
565,hut.ai,hut,3,12640
566,rub.ai,rub,3,12745
567,nan.ai,nan,3,12820
568,och.ai,och,3,12854
569,lim.ai,lim,3,13010
570,tor.ai,tor,3,13054
571,fra.ai,fra,3,13069
572,imp.ai,imp,3,13207
573,wee.ai,wee,3,13227
574,ger.ai,ger,3,13269
575,owe.ai,owe,3,13320
576,hud.ai,hud,3,13399
577,tha.ai,tha,3,13470
578,ore.ai,ore,3,13473
579,lac.ai,lac,3,13508
580,nip.ai,nip,3,13617
581,bel.ai,bel,3,13630
582,sha.ai,sha,3,13650
583,hum.ai,hum,3,13658
584,bis.ai,bis,3,13659
585,sar.ai,sar,3,13789
586,pep.ai,pep,3,13792
587,rad.ai,rad,3,13876
588,gut.ai,gut,3,13877
589,yep.ai,yep,3,13883
590,bur.ai,bur,3,13899
591,elm.ai,elm,3,13941
592,hug.ai,hug,3,13972
593,hep.ai,hep,3,14012
594,wat.ai,wat,3,14108
595,boo.ai,boo,3,14153
596,tow.ai,tow,3,14185
597,rig.ai,rig,3,14311
598,sax.ai,sax,3,14323
599,jaw.ai,jaw,3,14387
600,lag.ai,lag,3,14447
601,apa.ai,apa,3,14455
602,axe.ai,axe,3,14486
603,ras.ai,ras,3,14542
604,rib.ai,rib,3,14549
605,ers.ai,ers,3,14559
606,ama.ai,ama,3,14596
607,mal.ai,mal,3,14611
608,aba.ai,aba,3,14615
609,woo.ai,woo,3,14637
610,nib.ai,nib,3,14767
611,tao.ai,tao,3,14817
612,eta.ai,eta,3,14895
613,kos.ai,kos,3,14926
614,tau.ai,tau,3,14964
615,beg.ai,beg,3,14968
616,kat.ai,kat,3,15067
617,quo.ai,quo,3,15129
618,lei.ai,lei,3,15139
619,deb.ai,deb,3,15204
620,roe.ai,roe,3,15232
621,tra.ai,tra,3,15439
622,nap.ai,nap,3,15456
623,tho.ai,tho,3,15473
624,vie.ai,vie,3,15477
625,ape.ai,ape,3,15586
626,gee.ai,gee,3,15588
627,roc.ai,roc,3,15639
628,pow.ai,pow,3,15652
629,rag.ai,rag,3,15810
630,lob.ai,lob,3,15848
631,poe.ai,poe,3,15894
632,gan.ai,gan,3,15901
633,dar.ai,dar,3,15943
634,kin.ai,kin,3,15995
635,fir.ai,fir,3,16076
636,mir.ai,mir,3,16124
637,hog.ai,hog,3,16268
638,sal.ai,sal,3,16285
639,rum.ai,rum,3,16342
640,orb.ai,orb,3,16361
641,awe.ai,awe,3,16386
642,dal.ai,dal,3,16406
643,cub.ai,cub,3,16415
644,lug.ai,lug,3,16475
645,bib.ai,bib,3,16500
646,tam.ai,tam,3,16520
647,ami.ai,ami,3,16572
648,hid.ai,hid,3,16582
649,nod.ai,nod,3,16642
650,kan.ai,kan,3,16773
651,ean.ai,ean,3,16790
652,wig.ai,wig,3,16808
653,ohm.ai,ohm,3,16871
654,tal.ai,tal,3,16909
655,ber.ai,ber,3,16915
656,rye.ai,rye,3,16965
657,lad.ai,lad,3,16988
658,ora.ai,ora,3,16992
659,bal.ai,bal,3,16994
660,shi.ai,shi,3,17055
661,lax.ai,lax,3,17068
662,bac.ai,bac,3,17077
663,pea.ai,pea,3,17112
664,hem.ai,hem,3,17211
665,mot.ai,mot,3,17265
666,bas.ai,bas,3,17315
667,rot.ai,rot,3,17344
668,emu.ai,emu,3,17416
669,paw.ai,paw,3,17498
670,lux.ai,lux,3,17499
671,cit.ai,cit,3,17516
672,bam.ai,bam,3,17549
673,dab.ai,dab,3,17639
674,ged.ai,ged,3,17667
675,gin.ai,gin,3,17785
676,aes.ai,aes,3,17835
677,pap.ai,pap,3,17847
678,rea.ai,rea,3,17885
679,dug.ai,dug,3,17952
680,tic.ai,tic,3,17968
681,fam.ai,fam,3,18105
682,coe.ai,coe,3,18333
683,mop.ai,mop,3,18477
684,urn.ai,urn,3,18478
685,ply.ai,ply,3,18539
686,cot.ai,cot,3,18626
687,ire.ai,ire,3,18711
688,wen.ai,wen,3,18773
689,oki.ai,oki,3,18784
690,tad.ai,tad,3,18886
691,sew.ai,sew,3,18946
692,fob.ai,fob,3,19024
693,pax.ai,pax,3,19064
694,taj.ai,taj,3,19066
695,bod.ai,bod,3,19134
696,yin.ai,yin,3,19136
697,bop.ai,bop,3,19152
698,gam.ai,gam,3,19218
699,boa.ai,boa,3,19393
700,yer.ai,yer,3,19410
701,lev.ai,lev,3,19459
702,aft.ai,aft,3,19481
703,dun.ai,dun,3,19524
704,lis.ai,lis,3,19539
705,dag.ai,dag,3,19677
706,ess.ai,ess,3,19681
707,ode.ai,ode,3,19721
708,dit.ai,dit,3,19731
709,amt.ai,amt,3,19743
710,orf.ai,orf,3,19771
711,moo.ai,moo,3,19802
712,lai.ai,lai,3,19884
713,poy.ai,poy,3,19948
714,mao.ai,mao,3,19949
715,yan.ai,yan,3,19998
716,aal.ai,aal,3,
717,aam.ai,aam,3,
718,abb.ai,abb,3,
719,aby.ai,aby,3,
720,ach.ai,ach,3,
721,ade.ai,ade,3,
722,ado.ai,ado,3,
723,ady.ai,ady,3,
724,adz.ai,adz,3,
725,aer.ai,aer,3,
726,aga.ai,aga,3,
727,agy.ai,agy,3,
728,aha.ai,aha,3,
729,aho.ai,aho,3,
730,ahu.ai,ahu,3,
731,ail.ai,ail,3,
732,ait.ai,ait,3,
733,ake.ai,ake,3,
734,ako.ai,ako,3,
735,aku.ai,aku,3,
736,alb.ai,alb,3,
737,alf.ai,alf,3,
738,alk.ai,alk,3,
739,aln.ai,aln,3,
740,alo.ai,alo,3,
741,alp.ai,alp,3,
742,aly.ai,aly,3,
743,ame.ai,ame,3,
744,ani.ai,ani,3,
745,ara.ai,ara,3,
746,arn.ai,arn,3,
747,aru.ai,aru,3,
748,arx.ai,arx,3,
749,ary.ai,ary,3,
750,ase.ai,ase,3,
751,auh.ai,auh,3,
752,auk.ai,auk,3,
753,aum.ai,aum,3,
754,ava.ai,ava,3,
755,avo.ai,avo,3,
756,awa.ai,awa,3,
757,awd.ai,awd,3,
758,awl.ai,awl,3,
759,awn.ai,awn,3,
760,ayu.ai,ayu,3,
761,azo.ai,azo,3,
762,baa.ai,baa,3,
763,bae.ai,bae,3,
764,bah.ai,bah,3,
765,bap.ai,bap,3,
766,baw.ai,baw,3,
767,bes.ai,bes,3,
768,bey.ai,bey,3,
769,blo.ai,blo,3,
770,bog.ai,bog,3,
771,bom.ai,bom,3,
772,bor.ai,bor,3,
773,bub.ai,bub,3,
774,bum.ai,bum,3,
775,bun.ai,bun,3,
776,cag.ai,cag,3,
777,caw.ai,caw,3,
778,cay.ai,cay,3,
779,cee.ai,cee,3,
780,cel.ai,cel,3,
781,cep.ai,cep,3,
782,cig.ai,cig,3,
783,cly.ai,cly,3,
784,cob.ai,cob,3,
785,cog.ai,cog,3,
786,coo.ai,coo,3,
787,coy.ai,coy,3,
788,coz.ai,coz,3,
789,cro.ai,cro,3,
790,cud.ai,cud,3,
791,cwm.ai,cwm,3,
792,cyp.ai,cyp,3,
793,dae.ai,dae,3,
794,dah.ai,dah,3,
795,dak.ai,dak,3,
796,dao.ai,dao,3,
797,dap.ai,dap,3,
798,daw.ai,daw,3,
799,dey.ai,dey,3,
800,dha.ai,dha,3,
801,dhu.ai,dhu,3,
802,dib.ai,dib,3,
803,dob.ai,dob,3,
804,dop.ai,dop,3,
805,dor.ai,dor,3,
806,dud.ai,dud,3,
807,dum.ai,dum,3,
808,dup.ai,dup,3,
809,dux.ai,dux,3,
810,ebb.ai,ebb,3,
811,edh.ai,edh,3,
812,eel.ai,eel,3,
813,eer.ai,eer,3,
814,eft.ai,eft,3,
815,eke.ai,eke,3,
816,elb.ai,elb,3,
817,eld.ai,eld,3,
818,ell.ai,ell,3,
819,els.ai,els,3,
820,elt.ai,elt,3,
821,eme.ai,eme,3,
822,ens.ai,ens,3,
823,eon.ai,eon,3,
824,erd.ai,erd,3,
825,ere.ai,ere,3,
826,erg.ai,erg,3,
827,ewe.ai,ewe,3,
828,eyn.ai,eyn,3,
829,fad.ai,fad,3,
830,fae.ai,fae,3,
831,fag.ai,fag,3,
832,fay.ai,fay,3,
833,fei.ai,fei,3,
834,fen.ai,fen,3,
835,fet.ai,fet,3,
836,feu.ai,feu,3,
837,fey.ai,fey,3,
838,fez.ai,fez,3,
839,fib.ai,fib,3,
840,fid.ai,fid,3,
841,fie.ai,fie,3,
842,fip.ai,fip,3,
843,fod.ai,fod,3,
844,foe.ai,foe,3,
845,fop.ai,fop,3,
846,fot.ai,fot,3,
847,fou.ai,fou,3,
848,fow.ai,fow,3,
849,foy.ai,foy,3,
850,fro.ai,fro,3,
851,fub.ai,fub,3,
852,fud.ai,fud,3,
853,fug.ai,fug,3,
854,fum.ai,fum,3,
855,fut.ai,fut,3,
856,gab.ai,gab,3,
857,gad.ai,gad,3,
858,gaj.ai,gaj,3,
859,gar.ai,gar,3,
860,gat.ai,gat,3,
861,gau.ai,gau,3,
862,gaw.ai,gaw,3,
863,gaz.ai,gaz,3,
864,gey.ai,gey,3,
865,gez.ai,gez,3,
866,gib.ai,gib,3,
867,gid.ai,gid,3,
868,gie.ai,gie,3,
869,gim.ai,gim,3,
870,gio.ai,gio,3,
871,gip.ai,gip,3,
872,git.ai,git,3,
873,gob.ai,gob,3,
874,gog.ai,gog,3,
875,goi.ai,goi,3,
876,gol.ai,gol,3,
877,gon.ai,gon,3,
878,gor.ai,gor,3,
879,gos.ai,gos,3,
880,goy.ai,goy,3,
881,gra.ai,gra,3,
882,grr.ai,grr,3,
883,gud.ai,gud,3,
884,gue.ai,gue,3,
885,gul.ai,gul,3,
886,gup.ai,gup,3,
887,gur.ai,gur,3,
888,guz.ai,guz,3,
889,gyn.ai,gyn,3,
890,gyp.ai,gyp,3,
891,hag.ai,hag,3,
892,hah.ai,hah,3,
893,hak.ai,hak,3,
894,hao.ai,hao,3,
895,hap.ai,hap,3,
896,hau.ai,hau,3,
897,haw.ai,haw,3,
898,hei.ai,hei,3,
899,hew.ai,hew,3,
900,hia.ai,hia,3,
901,hic.ai,hic,3,
902,hie.ai,hie,3,
903,hin.ai,hin,3,
904,hob.ai,hob,3,
905,hod.ai,hod,3,
906,hoe.ai,hoe,3,
907,hoi.ai,hoi,3,
908,hox.ai,hox,3,
909,hoy.ai,hoy,3,
910,hue.ai,hue,3,
911,hup.ai,hup,3,
912,hyp.ai,hyp,3,
913,iao.ai,iao,3,
914,iba.ai,iba,3,
915,icy.ai,icy,3,
916,ife.ai,ife,3,
917,ihi.ai,ihi,3,
918,ilk.ai,ilk,3,
919,imi.ai,imi,3,
920,imu.ai,imu,3,
921,irk.ai,irk,3,
922,ism.ai,ism,3,
