value_rank,domain,word,length,google_20k_rank,is_google_20k
62,county.ai,county,6,302,yes
63,photo.ai,photo,5,304,yes
64,power.ai,power,5,307,yes
65,while.ai,while,5,308,yes
66,three.ai,three,5,314,yes
67,total.ai,total,5,315,yes
68,place.ai,place,5,316,yes
69,access.ai,access,6,324,yes
70,think.ai,think,5,325,yes
71,north.ai,north,5,326,yes
72,media.ai,media,5,331,yes
73,water.ai,water,5,334,yes
74,since.ai,since,5,340,yes
75,guide.ai,guide,5,342,yes
76,board.ai,board,5,345,yes
77,change.ai,change,6,347,yes
78,white.ai,white,5,348,yes
79,small.ai,small,5,350,yes
80,rating.ai,rating,6,351,yes
81,during.ai,during,6,355,yes
82,return.ai,return,6,357,yes
83,times.ai,times,5,362,yes
84,level.ai,level,5,364,yes
85,image.ai,image,5,376,yes
86,title.ai,title,5,378,yes
87,shall.ai,shall,5,386,yes
88,class.ai,class,5,388,yes
89,still.ai,still,5,390,yes
90,money.ai,money,5,391,yes
91,every.ai,every,5,393,yes
92,little.ai,little,6,398,yes
93,visit.ai,visit,5,399,yes
94,reply.ai,reply,5,403,yes
95,value.ai,value,5,410,yes
96,source.ai,source,6,419,yes
97,author.ai,author,6,420,yes
98,press.ai,press,5,422,yes
99,learn.ai,learn,5,424,yes
100,around.ai,around,6,426,yes
101,print.ai,print,5,427,yes
102,course.ai,course,6,428,yes
103,canada.ai,canada,6,430,yes
104,stock.ai,stock,5,434,yes
105,credit.ai,credit,6,437,yes
106,point.ai,point,5,438,yes
107,estate.ai,estate,6,450,yes
108,select.ai,select,6,453,yes
109,thread.ai,thread,6,457,yes
110,large.ai,large,5,462,yes
111,table.ai,table,5,464,yes
112,market.ai,market,6,470,yes
113,really.ai,really,6,472,yes
114,action.ai,action,6,473,yes
115,start.ai,start,5,474,yes
116,series.ai,series,6,475,yes
117,model.ai,model,5,476,yes
118,human.ai,human,5,481,yes
119,second.ai,second,6,486,yes
120,movie.ai,movie,5,490,yes
121,march.ai,march,5,492,yes
122,better.ai,better,6,495,yes
123,yahoo.ai,yahoo,5,499,yes
124,going.ai,going,5,500,yes
125,friend.ai,friend,6,503,yes
126,server.ai,server,6,506,yes
127,study.ai,study,5,508,yes
128,staff.ai,staff,5,511,yes
129,again.ai,again,5,515,yes
130,never.ai,never,5,520,yes
131,street.ai,street,6,523,yes
132,topic.ai,topic,5,524,yes
133,person.ai,person,6,532,yes
134,below.ai,below,5,533,yes
135,mobile.ai,mobile,6,534,yes
136,party.ai,party,5,538,yes
137,login.ai,login,5,541,yes
138,legal.ai,legal,5,546,yes
139,above.ai,above,5,547,yes
140,recent.ai,recent,6,548,yes
141,memory.ai,memory,6,556,yes
142,social.ai,social,6,558,yes
143,august.ai,august,6,560,yes
144,quote.ai,quote,5,561,yes
145,story.ai,story,5,563,yes
146,create.ai,create,6,568,yes
147,young.ai,young,5,571,yes
148,field.ai,field,5,574,yes
149,paper.ai,paper,5,577,yes
150,single.ai,single,6,578,yes
151,latest.ai,latest,6,588,yes
152,night.ai,night,5,594,yes
153,poker.ai,poker,5,601,yes
154,status.ai,status,6,602,yes
155,browse.ai,browse,6,603,yes
156,issue.ai,issue,5,604,yes
157,range.ai,range,5,605,yes
158,seller.ai,seller,6,607,yes
159,court.ai,court,5,608,yes
160,always.ai,always,6,610,yes
161,result.ai,result,6,611,yes
162,audio.ai,audio,5,612,yes
163,light.ai,light,5,613,yes
164,write.ai,write,5,614,yes
165,offer.ai,offer,5,617,yes
166,given.ai,given,5,622,yes
167,event.ai,event,5,624,yes
168,china.ai,china,5,629,yes
169,making.ai,making,6,630,yes
170,needs.ai,needs,5,632,yes
171,might.ai,might,5,634,yes
172,month.ai,month,5,637,yes
173,major.ai,major,5,638,yes
174,future.ai,future,6,641,yes
175,space.ai,space,5,642,yes
176,become.ai,become,6,652,yes
177,child.ai,child,5,655,yes
178,enter.ai,enter,5,657,yes
179,share.ai,share,5,660,yes
180,garden.ai,garden,6,662,yes
181,added.ai,added,5,665,yes
182,listed.ai,listed,6,668,yes
183,energy.ai,energy,6,671,yes
184,notice.ai,notice,6,689,yes
185,radio.ai,radio,5,693,yes
186,until.ai,until,5,694,yes
187,color.ai,color,5,696,yes
188,track.ai,track,5,701,yes
189,format.ai,format,6,709,yes
190,least.ai,least,5,710,yes
191,safety.ai,safety,6,714,yes
192,trade.ai,trade,5,718,yes
193,green.ai,green,5,733,yes
194,close.ai,close,5,735,yes
195,common.ai,common,6,736,yes
196,drive.ai,drive,5,737,yes
197,living.ai,living,6,742,yes
198,short.ai,short,5,746,yes
199,daily.ai,daily,5,756,yes
200,beach.ai,beach,5,757,yes
201,period.ai,period,6,766,yes
202,window.ai,window,6,777,yes
203,region.ai,region,6,780,yes
204,island.ai,island,6,781,yes
205,record.ai,record,6,782,yes
206,direct.ai,direct,6,783,yes
207,style.ai,style,5,792,yes
208,front.ai,front,5,794,yes
209,update.ai,update,6,796,yes
210,early.ai,early,5,801,yes
211,sound.ai,sound,5,803,yes
212,either.ai,either,6,807,yes
213,works.ai,works,5,811,yes
214,final.ai,final,5,820,yes
215,adult.ai,adult,5,821,yes
216,thing.ai,thing,5,823,yes
217,cheap.ai,cheap,5,827,yes
218,third.ai,third,5,835,yes
219,cover.ai,cover,5,846,yes
220,global.ai,global,6,857,yes
221,player.ai,player,6,863,yes
222,often.ai,often,5,866,yes
223,submit.ai,submit,6,868,yes
224,amount.ai,amount,6,870,yes
225,watch.ai,watch,5,871,yes
226,though.ai,though,6,874,yes
227,thanks.ai,thanks,6,877,yes
228,weight.ai,weight,6,887,yes
229,heart.ai,heart,5,889,yes
230,choose.ai,choose,6,892,yes
231,error.ai,error,5,899,yes
232,camera.ai,camera,6,900,yes
233,clear.ai,clear,5,907,yes
234,domain.ai,domain,6,910,yes
235,beauty.ai,beauty,6,918,yes
236,taken.ai,taken,5,922,yes
237,known.ai,known,5,927,yes
238,simple.ai,simple,6,933,yes
239,quick.ai,quick,5,934,yes
240,whole.ai,whole,5,941,yes
241,annual.ai,annual,6,942,yes
242,later.ai,later,5,944,yes
243,basic.ai,basic,5,945,yes
244,church.ai,church,6,950,yes
245,method.ai,method,6,951,yes
246,active.ai,active,6,954,yes
247,figure.ai,figure,6,958,yes
248,enough.ai,enough,6,963,yes
249,along.ai,along,5,965,yes
250,among.ai,among,5,966,yes
251,death.ai,death,5,967,yes
252,speed.ai,speed,5,969,yes
253,brand.ai,brand,5,974,yes
254,higher.ai,higher,6,976,yes
255,yellow.ai,yellow,6,983,yes
256,stuff.ai,stuff,5,992,yes
257,japan.ai,japan,5,996,yes
258,doing.ai,doing,5,997,yes
259,entry.ai,entry,5,1000,yes
260,nature.ai,nature,6,1002,yes
261,growth.ai,growth,6,1009,yes
262,agency.ai,agency,6,1011,yes
263,income.ai,income,6,1021,yes
264,force.ai,force,5,1022,yes
265,river.ai,river,5,1027,yes
266,engine.ai,engine,6,1034,yes
267,album.ai,album,5,1036,yes
268,double.ai,double,6,1046,yes
269,build.ai,build,5,1048,yes
270,screen.ai,screen,6,1049,yes
271,across.ai,across,6,1057,yes
272,season.ai,season,6,1060,yes
273,apply.ai,apply,5,1061,yes
274,effect.ai,effect,6,1071,yes
275,casino.ai,casino,6,1077,yes
276,volume.ai,volume,6,1082,yes
277,cross.ai,cross,5,1083,yes
278,anyone.ai,anyone,6,1084,yes
279,silver.ai,silver,6,1087,yes
280,inside.ai,inside,6,1090,yes
281,mature.ai,mature,6,1092,yes
282,rather.ai,rather,6,1094,yes
283,supply.ai,supply,6,1098,yes
284,lower.ai,lower,5,1104,yes
285,union.ai,union,5,1106,yes
286,advice.ai,advice,6,1124,yes
287,career.ai,career,6,1125,yes
288,rental.ai,rental,6,1127,yes
289,leave.ai,leave,5,1129,yes
290,teens.ai,teens,5,1131,yes
291,woman.ai,woman,5,1135,yes
292,middle.ai,middle,6,1141,yes
293,cable.ai,cable,5,1143,yes
294,taking.ai,taking,6,1145,yes
295,coming.ai,coming,6,1148,yes
296,object.ai,object,6,1150,yes
297,length.ai,length,6,1155,yes
298,score.ai,score,5,1158,yes
299,client.ai,client,6,1160,yes
300,follow.ai,follow,6,1164,yes
301,sample.ai,sample,6,1165,yes
302,shown.ai,shown,5,1168,yes
303,flash.ai,flash,5,1174,yes
304,choice.ai,choice,6,1178,yes
305,artist.ai,artist,6,1189,yes
306,letter.ai,letter,6,1194,yes
307,summer.ai,summer,6,1201,yes
308,allow.ai,allow,5,1202,yes
309,degree.ai,degree,6,1203,yes
310,button.ai,button,6,1205,yes
311,super.ai,super,5,1209,yes
312,matter.ai,matter,6,1211,yes
313,custom.ai,custom,6,1212,yes
314,almost.ai,almost,6,1214,yes
315,editor.ai,editor,6,1220,yes
316,cause.ai,cause,5,1223,yes
317,focus.ai,focus,5,1230,yes
318,female.ai,female,6,1236,yes
319,cancer.ai,cancer,6,1244,yes
320,reason.ai,reason,6,1246,yes
321,spring.ai,spring,6,1249,yes
322,answer.ai,answer,6,1251,yes
323,voice.ai,voice,5,1252,yes
324,comes.ai,comes,5,1261,yes
325,police.ai,police,6,1262,yes
326,brown.ai,brown,5,1268,yes
327,glass.ai,glass,5,1279,yes
328,happy.ai,happy,5,1280,yes
329,smith.ai,smith,5,1282,yes
330,thank.ai,thank,5,1285,yes
331,unique.ai,unique,6,1287,yes
332,survey.ai,survey,6,1288,yes
333,prior.ai,prior,5,1289,yes
334,sport.ai,sport,5,1291,yes
335,ready.ai,ready,5,1292,yes
336,animal.ai,animal,6,1294,yes
337,secure.ai,secure,6,1300,yes
338,simply.ai,simply,6,1305,yes
339,round.ai,round,5,1309,yes
340,option.ai,option,6,1313,yes
341,master.ai,master,6,1314,yes
342,valley.ai,valley,6,1315,yes
343,built.ai,built,5,1321,yes
344,blood.ai,blood,5,1323,yes
345,earth.ai,earth,5,1333,yes
346,impact.ai,impact,6,1336,yes
347,strong.ai,strong,6,1340,yes
348,ground.ai,ground,6,1346,yes
349,basis.ai,basis,5,1361,yes
350,award.ai,award,5,1367,yes
351,peter.ai,peter,5,1370,yes
352,ensure.ai,ensure,6,1372,yes
353,extra.ai,extra,5,1378,yes
354,pussy.ai,pussy,5,1381,yes
355,budget.ai,budget,6,1383,yes
356,rated.ai,rated,5,1384,yes
357,quite.ai,quite,5,1391,yes
358,horse.ai,horse,5,1401,yes
359,owner.ai,owner,5,1409,yes
360,retail.ai,retail,6,1410,yes
361,useful.ai,useful,6,1412,yes
362,bring.ai,bring,5,1425,yes
363,trying.ai,trying,6,1429,yes
364,mother.ai,mother,6,1430,yes
365,input.ai,input,5,1438,yes
366,agent.ai,agent,5,1441,yes
367,valid.ai,valid,5,1442,yes
368,modern.ai,modern,6,1444,yes
369,senior.ai,senior,6,1445,yes
370,grand.ai,grand,5,1450,yes
371,trial.ai,trial,5,1452,yes
372,charge.ai,charge,6,1453,yes
373,normal.ai,normal,6,1458,yes
374,wrote.ai,wrote,5,1459,yes
375,entire.ai,entire,6,1462,yes
376,metal.ai,metal,5,1466,yes
377,output.ai,output,6,1477,yes
378,funds.ai,funds,5,1478,yes
379,likely.ai,likely,6,1481,yes
380,guest.ai,guest,5,1490,yes
381,trust.ai,trust,5,1495,yes
382,grade.ai,grade,5,1518,yes
383,dating.ai,dating,6,1519,yes
384,filter.ai,filter,6,1524,yes
385,longer.ai,longer,6,1527,yes
386,behind.ai,behind,6,1531,yes
387,panel.ai,panel,5,1532,yes
388,floor.ai,floor,5,1533,yes
389,german.ai,german,6,1534,yes
390,match.ai,match,5,1536,yes
391,plant.ai,plant,5,1549,yes
392,string.ai,string,6,1567,yes
393,sense.ai,sense,5,1568,yes
394,stage.ai,stage,5,1572,yes
395,goods.ai,goods,5,1574,yes
396,unless.ai,unless,6,1577,yes
397,target.ai,target,6,1584,yes
398,except.ai,except,6,1585,yes
399,maybe.ai,maybe,5,1590,yes
400,moving.ai,moving,6,1593,yes
401,pretty.ai,pretty,6,1597,yes
402,winter.ai,winter,6,1604,yes
403,youth.ai,youth,5,1607,yes
404,boston.ai,boston,6,1610,yes
405,incest.ai,incest,6,1611,yes
406,medium.ai,medium,6,1614,yes
407,break.ai,break,5,1618,yes
408,dance.ai,dance,5,1622,yes
409,itself.ai,itself,6,1625,yes
410,studio.ai,studio,6,1631,yes
411,reader.ai,reader,6,1632,yes
412,device.ai,device,6,1634,yes
413,remote.ai,remote,6,1639,yes
414,apple.ai,apple,5,1643,yes
415,theory.ai,theory,6,1649,yes
416,enjoy.ai,enjoy,5,1650,yes
417,remove.ai,remove,6,1651,yes
418,visual.ai,visual,6,1655,yes
419,martin.ai,martin,6,1660,yes
420,manual.ai,manual,6,1661,yes
421,block.ai,block,5,1662,yes
422,repair.ai,repair,6,1666,yes
423,civil.ai,civil,5,1668,yes
424,steel.ai,steel,5,1669,yes
425,fixed.ai,fixed,5,1672,yes
426,wrong.ai,wrong,5,1673,yes
427,sector.ai,sector,6,1685,yes
428,jersey.ai,jersey,6,1688,yes
429,fully.ai,fully,5,1691,yes
430,father.ai,father,6,1692,yes
431,driver.ai,driver,6,1698,yes
432,worth.ai,worth,5,1708,yes
433,peace.ai,peace,5,1720,yes
434,campus.ai,campus,6,1722,yes
435,coast.ai,coast,5,1726,yes
436,grant.ai,grant,5,1732,yes
437,agree.ai,agree,5,1734,yes
438,beyond.ai,beyond,6,1740,yes
439,museum.ai,museum,6,1744,yes
440,former.ai,former,6,1753,yes
441,parent.ai,parent,6,1771,yes
442,scale.ai,scale,5,1777,yes
443,stand.ai,stand,5,1778,yes
444,frame.ai,frame,5,1784,yes
445,chief.ai,chief,5,1793,yes
446,bottom.ai,bottom,6,1796,yes
447,detail.ai,detail,6,1799,yes
448,begin.ai,begin,5,1805,yes
449,royal.ai,royal,5,1808,yes
450,clean.ai,clean,5,1809,yes
451,switch.ai,switch,6,1810,yes
452,basket.ai,basket,6,1823,yes
453,weekly.ai,weekly,6,1825,yes
454,demand.ai,demand,6,1829,yes
455,suite.ai,suite,5,1831,yes
456,square.ai,square,6,1834,yes
457,nation.ai,nation,6,1849,yes
458,piece.ai,piece,5,1852,yes
459,sheet.ai,sheet,5,1853,yes
460,seven.ai,seven,5,1855,yes
461,older.ai,older,5,1856,yes
462,module.ai,module,6,1863,yes
463,resort.ai,resort,6,1864,yes
464,random.ai,random,6,1866,yes
465,motion.ai,motion,6,1871,yes
466,forest.ai,forest,6,1879,yes
467,whose.ai,whose,5,1881,yes
468,couple.ai,couple,6,1883,yes
469,giving.ai,giving,6,1884,yes
470,chance.ai,chance,6,1885,yes
471,vision.ai,vision,6,1886,yes
472,ending.ai,ending,6,1888,yes
473,listen.ai,listen,6,1891,yes
474,accept.ai,accept,6,1893,yes
475,naked.ai,naked,5,1895,yes
476,highly.ai,highly,6,1906,yes
477,appear.ai,appear,6,1908,yes
478,actual.ai,actual,6,1920,yes
479,stone.ai,stone,5,1922,yes
480,coffee.ai,coffee,6,1942,yes
481,buyer.ai,buyer,5,1946,yes
482,easily.ai,easily,6,1949,yes
483,poster.ai,poster,6,1952,yes
484,closed.ai,closed,6,1958,yes
485,label.ai,label,5,1971,yes
486,canon.ai,canon,5,1977,yes
487,league.ai,league,6,1979,yes
488,waste.ai,waste,5,1980,yes
489,minute.ai,minute,6,1981,yes
490,chair.ai,chair,5,1990,yes
491,effort.ai,effort,6,1992,yes
492,phase.ai,phase,5,1993,yes
493,motor.ai,motor,5,1999,yes
494,shirt.ai,shirt,5,2004,yes
495,crime.ai,crime,5,2010,yes
496,count.ai,count,5,2011,yes
497,breast.ai,breast,6,2012,yes
498,claim.ai,claim,5,2022,yes
499,patch.ai,patch,5,2026,yes
500,doctor.ai,doctor,6,2034,yes
501,reduce.ai,reduce,6,2036,yes
502,enable.ai,enable,6,2041,yes
503,leader.ai,leader,6,2047,yes
504,alone.ai,alone,5,2054,yes
505,flight.ai,flight,6,2061,yes
506,pocket.ai,pocket,6,2073,yes
507,saint.ai,saint,5,2074,yes
508,joint.ai,joint,5,2082,yes
509,fresh.ai,fresh,5,2085,yes
510,factor.ai,factor,6,2090,yes
511,stream.ai,stream,6,2094,yes
512,upper.ai,upper,5,2105,yes
513,prime.ai,prime,5,2108,yes
514,limit.ai,limit,5,2110,yes
515,creek.ai,creek,5,2123,yes
516,worked.ai,worked,6,2125,yes
517,urban.ai,urban,5,2127,yes
518,sorted.ai,sorted,6,2129,yes
519,myself.ai,myself,6,2132,yes
520,labor.ai,labor,5,2137,yes
521,admin.ai,admin,5,2139,yes
522,heavy.ai,heavy,5,2145,yes
523,expert.ai,expert,6,2155,yes
524,solid.ai,solid,5,2159,yes
525,orange.ai,orange,6,2164,yes
526,theme.ai,theme,5,2168,yes
527,marine.ai,marine,6,2172,yes
528,guitar.ai,guitar,6,2175,yes
529,saying.ai,saying,6,2180,yes
530,spirit.ai,spirit,6,2181,yes
531,touch.ai,touch,5,2192,yes
532,branch.ai,branch,6,2200,yes
533,serve.ai,serve,5,2202,yes
534,magic.ai,magic,5,2205,yes
535,mount.ai,mount,5,2206,yes
536,smart.ai,smart,5,2207,yes
537,avoid.ai,avoid,5,2215,yes
538,manage.ai,manage,6,2217,yes
539,corner.ai,corner,6,2218,yes
540,birth.ai,birth,5,2223,yes
541,virus.ai,virus,5,2224,yes
542,abuse.ai,abuse,5,2225,yes
543,tables.ai,tables,6,2232,yes
544,define.ai,define,6,2233,yes
545,racing.ai,racing,6,2234,yes
546,column.ai,column,6,2239,yes
547,faith.ai,faith,5,2241,yes
548,chain.ai,chain,5,2242,yes
549,avenue.ai,avenue,6,2245,yes
550,reach.ai,reach,5,2254,yes
551,mental.ai,mental,6,2256,yes
552,moment.ai,moment,6,2258,yes
553,attack.ai,attack,6,2262,yes
554,sorry.ai,sorry,5,2263,yes
555,damage.ai,damage,6,2266,yes
556,gamma.ai,gamma,5,2271,yes
557,truth.ai,truth,5,2276,yes
558,dollar.ai,dollar,6,2282,yes
559,bridge.ai,bridge,6,2289,yes
560,native.ai,native,6,2290,yes
561,draft.ai,draft,5,2298,yes
562,chart.ai,chart,5,2299,yes
563,equal.ai,equal,5,2309,yes
564,profit.ai,profit,6,2314,yes
565,expect.ai,expect,6,2323,yes
566,russia.ai,russia,6,2331,yes
567,golden.ai,golden,6,2338,yes
568,senate.ai,senate,6,2345,yes
569,funny.ai,funny,5,2347,yes
570,turned.ai,turned,6,2350,yes
571,tried.ai,tried,5,2352,yes
572,laser.ai,laser,5,2363,yes
573,harry.ai,harry,5,2373,yes
574,delete.ai,delete,6,2377,yes
575,mouse.ai,mouse,5,2382,yes
576,signal.ai,signal,6,2383,yes
577,brain.ai,brain,5,2386,yes
578,sexual.ai,sexual,6,2387,yes
579,dream.ai,dream,5,2390,yes
580,false.ai,false,5,2392,yes
581,flower.ai,flower,6,2395,yes
582,stated.ai,stated,6,2407,yes
583,carry.ai,carry,5,2412,yes
584,hello.ai,hello,5,2420,yes
585,clips.ai,clips,5,2427,yes
586,brief.ai,brief,5,2436,yes
587,ended.ai,ended,5,2437,yes
588,eight.ai,eight,5,2439,yes
589,script.ai,script,6,2443,yes
590,dining.ai,dining,6,2449,yes
591,alert.ai,alert,5,2450,yes
592,queen.ai,queen,5,2460,yes
593,handle.ai,handle,6,2465,yes
594,sweet.ai,sweet,5,2466,yes
595,truck.ai,truck,5,2477,yes
596,ocean.ai,ocean,5,2494,yes
597,depth.ai,depth,5,2499,yes
598,logged.ai,logged,6,2502,yes
599,train.ai,train,5,2505,yes
600,nearly.ai,nearly,6,2512,yes
601,forgot.ai,forgot,6,2516,yes
602,origin.ai,origin,6,2518,yes
603,gaming.ai,gaming,6,2520,yes
604,faster.ai,faster,6,2525,yes
605,bought.ai,bought,6,2528,yes
606,route.ai,route,5,2532,yes
607,broken.ai,broken,6,2535,yes
608,frank.ai,frank,5,2537,yes
609,battle.ai,battle,6,2541,yes
610,anime.ai,anime,5,2543,yes
611,speak.ai,speak,5,2544,yes
612,query.ai,query,5,2548,yes
613,equity.ai,equity,6,2555,yes
614,speech.ai,speech,6,2557,yes
615,rural.ai,rural,5,2561,yes
616,judge.ai,judge,5,2567,yes
617,forced.ai,forced,6,2573,yes
618,fight.ai,fight,5,2575,yes
619,height.ai,height,6,2577,yes
620,obtain.ai,obtain,6,2584,yes
621,remain.ai,remain,6,2590,yes
622,secret.ai,secret,6,2600,yes
623,kelly.ai,kelly,5,2603,yes
624,assets.ai,assets,6,2619,yes
625,injury.ai,injury,6,2620,yes
626,lawyer.ai,lawyer,6,2625,yes
627,portal.ai,portal,6,2632,yes
628,gratis.ai,gratis,6,2637,yes
629,toward.ai,toward,6,2641,yes
630,assist.ai,assist,6,2644,yes
631,postal.ai,postal,6,2661,yes
632,minor.ai,minor,5,2673,yes
633,finish.ai,finish,6,2674,yes
634,noted.ai,noted,5,2677,yes
635,spent.ai,spent,5,2683,yes
636,cycle.ai,cycle,5,2698,yes
637,sleep.ai,sleep,5,2705,yes
638,brazil.ai,brazil,6,2709,yes
639,static.ai,static,6,2711,yes
640,scene.ai,scene,5,2712,yes
641,famous.ai,famous,6,2717,yes
642,writer.ai,writer,6,2718,yes
643,drink.ai,drink,5,2724,yes
644,gender.ai,gender,6,2727,yes
645,vendor.ai,vendor,6,2743,yes
646,junior.ai,junior,6,2758,yes
647,ladies.ai,ladies,6,2769,yes
648,henry.ai,henry,5,2770,yes
649,ticket.ai,ticket,6,2771,yes
650,guess.ai,guess,5,2773,yes
651,agreed.ai,agreed,6,2774,yes
652,soccer.ai,soccer,6,2778,yes
653,import.ai,import,6,2780,yes
654,ahead.ai,ahead,5,2800,yes
655,scheme.ai,scheme,6,2803,yes
656,manner.ai,manner,6,2807,yes
657,matrix.ai,matrix,6,2808,yes
658,turkey.ai,turkey,6,2816,yes
659,proper.ai,proper,6,2818,yes
660,delta.ai,delta,5,2823,yes
661,voyeur.ai,voyeur,6,2834,yes
662,colors.ai,colors,6,2836,yes
663,cisco.ai,cisco,5,2838,yes
664,alpha.ai,alpha,5,2841,yes
665,appeal.ai,appeal,6,2842,yes
666,cruise.ai,cruise,6,2843,yes
667,bonus.ai,bonus,5,2844,yes
668,adobe.ai,adobe,5,2855,yes
669,dress.ai,dress,5,2868,yes
670,dealer.ai,dealer,6,2870,yes
671,nearby.ai,nearby,6,2874,yes
672,happen.ai,happen,6,2877,yes
673,refer.ai,refer,5,2884,yes
674,miller.ai,miller,6,2885,yes
675,luxury.ai,luxury,6,2890,yes
676,indeed.ai,indeed,6,2895,yes
677,layer.ai,layer,5,2899,yes
678,easier.ai,easier,6,2903,yes
679,mostly.ai,mostly,6,2913,yes
680,spend.ai,spend,5,2919,yes
681,clock.ai,clock,5,2929,yes
682,hidden.ai,hidden,6,2936,yes
683,serial.ai,serial,6,2939,yes
684,relief.ai,relief,6,2940,yes
685,ratio.ai,ratio,5,2944,yes
686,planet.ai,planet,6,2950,yes
687,recipe.ai,recipe,6,2953,yes
688,permit.ai,permit,6,2955,yes
689,seeing.ai,seeing,6,2956,yes
690,proof.ai,proof,5,2957,yes
691,tennis.ai,tennis,6,2960,yes
692,empty.ai,empty,5,2964,yes
693,bureau.ai,bureau,6,2973,yes
694,ideal.ai,ideal,5,2979,yes
695,specs.ai,specs,5,2980,yes
696,dinner.ai,dinner,6,2986,yes
697,stress.ai,stress,6,2989,yes
698,cream.ai,cream,5,2990,yes
699,fourth.ai,fourth,6,3003,yes
700,aware.ai,aware,5,3010,yes
701,shape.ai,shape,5,3012,yes
702,usage.ai,usage,5,3031,yes
703,mixed.ai,mixed,5,3036,yes
704,census.ai,census,6,3037,yes
705,exist.ai,exist,5,3042,yes
706,wheel.ai,wheel,5,3043,yes
707,poetry.ai,poetry,6,3049,yes
708,angel.ai,angel,5,3052,yes
709,width.ai,width,5,3060,yes
710,noise.ai,noise,5,3061,yes
711,forget.ai,forget,6,3063,yes
712,array.ai,array,5,3064,yes
713,sister.ai,sister,6,3078,yes
714,extent.ai,extent,6,3090,yes
715,sharp.ai,sharp,5,3091,yes
716,export.ai,export,6,3101,yes
717,occur.ai,occur,5,3110,yes
718,backup.ai,backup,6,3116,yes
719,spread.ai,spread,6,3125,yes
720,coach.ai,coach,5,3126,yes
721,expand.ai,expand,6,3129,yes
722,jordan.ai,jordan,6,3133,yes
723,affect.ai,affect,6,3140,yes
724,virgin.ai,virgin,6,3141,yes
725,raised.ai,raised,6,3144,yes
726,plate.ai,plate,5,3157,yes
727,blonde.ai,blonde,6,3160,yes
728,agenda.ai,agenda,6,3191,yes
729,anyway.ai,anyway,6,3192,yes
730,logic.ai,logic,5,3198,yes
731,prince.ai,prince,6,3200,yes
732,circle.ai,circle,6,3201,yes
733,sizes.ai,sizes,5,3225,yes
734,plain.ai,plain,5,3226,yes
735,launch.ai,launch,6,3232,yes
736,costa.ai,costa,5,3235,yes
737,trail.ai,trail,5,3242,yes
738,symbol.ai,symbol,6,3244,yes
739,buddy.ai,buddy,5,3247,yes
740,setup.ai,setup,5,3251,yes
741,fiscal.ai,fiscal,6,3255,yes
742,filled.ai,filled,6,3260,yes
743,notify.ai,notify,6,3265,yes
744,blues.ai,blues,5,3266,yes
745,scope.ai,scope,5,3270,yes
746,cotton.ai,cotton,6,3274,yes
747,dental.ai,dental,6,3280,yes
748,border.ai,border,6,3282,yes
749,debate.ai,debate,6,3284,yes
750,crazy.ai,crazy,5,3304,yes
751,comedy.ai,comedy,6,3313,yes
752,linear.ai,linear,6,3317,yes
753,mouth.ai,mouth,5,3327,yes
754,meter.ai,meter,5,3329,yes
755,linked.ai,linked,6,3330,yes
756,wonder.ai,wonder,6,3339,yes
757,fruit.ai,fruit,5,3342,yes
758,reform.ai,reform,6,3345,yes
759,assume.ai,assume,6,3354,yes
760,lewis.ai,lewis,5,3361,yes
