value_rank,domain,word,length,google_20k_rank,dns_status,dns_code,whois_status,checked_at_utc
5076,tarr.ai,tarr,4,,possible,NXDOMAIN,available,2026-05-30T14:13:45.715Z
5239,turr.ai,turr,4,,possible,NXDOMAIN,available,2026-05-30T14:13:45.715Z
5389,wath.ai,wath,4,,possible,NXDOMAIN,available,2026-05-30T14:13:45.715Z
5381,warf.ai,warf,4,,possible,NXDOMAIN,available,2026-05-30T14:13:45.715Z
5383,warl.ai,warl,4,,possible,NXDOMAIN,available,2026-05-30T14:13:45.715Z
5554,yerk.ai,yerk,4,,possible,NXDOMAIN,available,2026-05-30T14:13:45.715Z
5580,yont.ai,yont,4,,possible,NXDOMAIN,available,2026-05-30T14:13:45.715Z
2745,baul.ai,baul,4,,possible,NXDOMAIN,available,2026-05-30T14:13:45.715Z
2774,bhoy.ai,bhoy,4,,possible,NXDOMAIN,available,2026-05-30T14:13:45.715Z
2775,bhut.ai,bhut,4,,possible,NXDOMAIN,available,2026-05-30T14:13:45.715Z
2898,buhl.ai,buhl,4,,possible,NXDOMAIN,available,2026-05-30T14:13:45.715Z
2899,buhr.ai,buhr,4,,possible,NXDOMAIN,available,2026-05-30T14:13:45.715Z
2900,bukh.ai,bukh,4,,possible,NXDOMAIN,available,2026-05-30T14:13:45.715Z
2969,chih.ai,chih,4,,possible,NXDOMAIN,available,2026-05-30T14:13:45.715Z
3220,eboe.ai,eboe,4,,possible,NXDOMAIN,available,2026-05-30T14:13:45.715Z
3520,gowk.ai,gowk,4,,possible,NXDOMAIN,available,2026-05-30T14:13:45.715Z
3639,hoer.ai,hoer,4,,possible,NXDOMAIN,available,2026-05-30T14:13:45.715Z
4024,losh.ai,losh,4,,possible,NXDOMAIN,available,2026-05-30T14:13:45.715Z
4829,siak.ai,siak,4,,possible,NXDOMAIN,available,2026-05-30T14:13:45.715Z
5258,tymp.ai,tymp,4,,possible,NXDOMAIN,available,2026-05-30T14:13:45.715Z
3223,eche.ai,eche,4,,possible,NXDOMAIN,available,2026-05-30T14:13:45.715Z
3228,eely.ai,eely,4,,possible,NXDOMAIN,available,2026-05-30T14:13:45.715Z
4913,snaw.ai,snaw,4,,possible,NXDOMAIN,available,2026-05-30T14:13:45.715Z
4928,snum.ai,snum,4,,possible,NXDOMAIN,available,2026-05-30T14:13:45.715Z
5037,swob.ai,swob,4,,possible,NXDOMAIN,available,2026-05-30T14:13:45.715Z
5038,swom.ai,swom,4,,possible,NXDOMAIN,available,2026-05-30T14:13:45.715Z
5093,tche.ai,tche,4,,possible,NXDOMAIN,available,2026-05-30T14:13:45.715Z
5094,tchu.ai,tchu,4,,possible,NXDOMAIN,available,2026-05-30T14:13:45.715Z
5128,thow.ai,thow,4,,possible,NXDOMAIN,available,2026-05-30T14:13:45.715Z
5265,uily.ai,uily,4,,possible,NXDOMAIN,available,2026-05-30T14:13:45.715Z
5276,unca.ai,unca,4,,possible,NXDOMAIN,available,2026-05-30T14:13:45.715Z
5277,unci.ai,unci,4,,possible,NXDOMAIN,available,2026-05-30T14:13:45.715Z
5357,waag.ai,waag,4,,possible,NXDOMAIN,available,2026-05-30T14:13:45.715Z
5364,waer.ai,waer,4,,possible,NXDOMAIN,available,2026-05-30T14:13:45.715Z
5490,wulk.ai,wulk,4,,possible,NXDOMAIN,available,2026-05-30T14:13:45.715Z
5546,yelk.ai,yelk,4,,possible,NXDOMAIN,available,2026-05-30T14:13:45.715Z
